Order,Emoji,Word,Transcription,Transcription_UK,Symbol,Category,Literal_Translation,Contextual_Translation
84,🏝️,Island,/ˈaɪ.lənd/,/ˈaɪ.lənd/,/aɪ/,Diphthongs,"ilha, ilhota, território, refúgio, região",Território cercado por água; também uso figurado.
86,🧩,Item,/ˈaɪ.t̬əm/,/ˈaɪ.təm/,/aɪ/,Diphthongs,"item, artigo, produto, objeto, elemento",Unidade individual dentro de uma lista ou conjunto.
85,🧬,Life,/laɪf/,/laɪf/,/aɪ/,Diphthongs,"vida, existência, vitalidade, cotidiano, biografia",Estado de estar vivo; também modo de viver.
87,💲,Price,/praɪs/,/praɪs/,/aɪ/,Diphthongs,"preço, valor, custo, taxa, quantia",Valor cobrado por um produto ou serviço.
99,🧾,Account,/əˈkaʊnt/,/əˈkaʊnt/,/aʊ/,Diphthongs,"conta, perfil, relatório, explicação, registro",Registro financeiro ou perfil digital; também versão dos fatos.
95,☁️,Cloud,/klaʊd/,/klaʊd/,/aʊ/,Diphthongs,"nuvem, névoa, sombra, massa, acúmulo",Conjunto de gotículas no céu; também computação em nuvem.
97,🌸,Flower,/ˈflɑʊ·ər/,/flaʊər/,/aʊ/,Diphthongs,"flor, planta, botão, espécie, enfeite",Parte colorida das plantas; símbolo de beleza e afeto.
94,🕐,Hour,/aʊr/,/aʊər/,/aʊ/,Diphthongs,"hora, período, tempo, duração, momento",Unidade de tempo; pode indicar o momento certo.
96,🚿,Shower,/ˈʃɑʊ·ər/,/ʃaʊər/,/aʊ/,Diphthongs,"chuveiro, banho, chuva, garoa, temporal",Banho rápido ou chuva leve.
98,🎶,Sound,/saʊnd/,/saʊnd/,/aʊ/,Diphthongs,"som, ruído, barulho, vibração, tom",O que é ouvido; também “parecer” (sound good).
115,🌬️,Air,/eər/,/eər/,/eə/,Diphthongs,"ar, atmosfera, vento, brisa, aparência",Substância que respiramos; pode indicar atitude (an air of...).
114,🧘,Care,/keər/,/keər/,/eə/,Diphthongs,"cuidado, atenção, preocupação, zelo, tratamento",Ato de cuidar ou demonstrar atenção.
117,🪑,Chair,/tʃeər/,/tʃeər/,/eə/,Diphthongs,"cadeira, assento, poltrona, posto, cargo",Objeto para sentar ou posição de liderança (chairperson).
116,⚖️,Fair,/feər/,/feər/,/eə/,Diphthongs,"justo, claro, honesto, razoável, feira",Pode significar justo ou um evento público (a fair).
112,💇‍♀️,Hair,/heər/,/heər/,/eə/,Diphthongs,"cabelo, fio, pelos, penteado, madeixa",Conjunto de fios que crescem na cabeça ou corpo.
113,2️⃣,Pair,/peər/,/peər/,/eə/,Diphthongs,"par, dupla, casal, conjunto, combinação",Duas coisas ou pessoas que formam um conjunto.
76,🎂,Age,/eɪdʒ/,/eɪdʒ/,/eɪ/,Diphthongs,"idade, época, era, período, geração",Quantidade de anos de vida ou tempo histórico.
77,☀️,Day,/deɪ/,/deɪ/,/eɪ/,Diphthongs,"dia, jornada, período, data, tempo",Unidade de tempo de 24 h; também usado para rotina.
81,🎮,Game,/ɡeɪm/,/ɡeɪm/,/eɪ/,Diphthongs,"jogo, partida, competição, brincadeira, estratégia",Atividade recreativa ou esportiva com regras.
79,🏷️,Name,/neɪm/,/neɪm/,/eɪ/,Diphthongs,"nome, denominação, título, apelido, marca","Palavra que identifica uma pessoa, coisa ou marca."
80,📍,Place,/pleɪs/,/pleɪs/,/eɪ/,Diphthongs,"lugar, local, posição, espaço, ponto",Área ou localização física; também “papel” ou “posição”.
78,📅,Today,/təˈdeɪ/,/təˈdeɪ/,/eɪ/,Diphthongs,"hoje, atualmente, presente, momento, dia atual",O dia em que estamos; também o mundo atual.
103,👚,Clothes,/kloʊz/,/kləʊðz/,/oʊ/,Diphthongs,"roupas, vestes, trajes, peças, vestimenta",Conjunto de peças usadas para se vestir.
105,🍃,Flow,/floʊ/,/fləʊ/,/oʊ/,Diphthongs,"fluxo, corrente, movimento, andamento, fluidez","Movimento contínuo de algo, como água ou ideias."
102,🏠,Home,/hoʊm/,/həʊm/,/oʊ/,Diphthongs,"lar, casa, residência, moradia, origem",Lugar onde alguém vive ou sente pertencimento.
101,🏨,Hotel,/hoʊˈtel/,/həʊˈtel/,/oʊ/,Diphthongs,"hotel, hospedagem, albergue, pousada, acomodação",Local comercial onde pessoas dormem temporariamente.
100,👎,No,/noʊ/,/nəʊ/,/oʊ/,Diphthongs,"não, negação, recusa, rejeição, oposição",Palavra usada para negar ou recusar algo.
104,🛣️,Road,/roʊd/,/rəʊd/,/oʊ/,Diphthongs,"estrada, via, caminho, rodovia, percurso",Faixa usada para trânsito de veículos e pessoas.
88,👦,Boy,/bɔɪ/,/bɔɪ/,/ɔɪ/,Diphthongs,"menino, garoto, rapaz, jovem, filho","Pessoa do sexo masculino, geralmente criança/adolescente."
93,👨‍💼,Employee,/ɪmˈplɔɪ.iː/,/ɪmˈplɔɪ.iː/,/ɔɪ/,Diphthongs,"empregado, funcionário, colaborador, trabalhador, assistente",Pessoa que trabalha em uma empresa sob contrato.
92,⚖️,Lawyer,/ˈlɔɪ·ər/,/ˈlɔɪ.ər/,/ɔɪ/,Diphthongs,"advogado, jurista, defensor, procurador, assessor jurídico","Profissional que atua com leis, direitos e defesas legais."
89,🔊,Noise,/nɔɪz/,/nɔɪz/,/ɔɪ/,Diphthongs,"barulho, som, ruído, confusão, tumulto",Som incômodo ou ambiente ruidoso.
91,▪️,Point,/pɔɪnt/,/pɔɪnt/,/ɔɪ/,Diphthongs,"ponto, questão, argumento, objetivo, local","Indica posição, ideia ou objetivo principal."
90,🗣️,Voice,/vɔɪs/,/vɔɪs/,/ɔɪ/,Diphthongs,"voz, fala, som, opinião, expressão",Som produzido ao falar; também direito de se expressar.
150,💼,Career,/kəˈrɪər/,/kəˈrɪər/,/ɪə/,Diphthongs,"carreira, profissão, trajetória, vida profissional, caminho",Conjunto de experiências de trabalho ao longo da vida.
107,👂,Ear,/ɪər/,/ɪər/,/ɪə/,Diphthongs,"ouvido, orelha, escuta, audição, percepção",Órgão responsável pela audição.
111,🧑‍🔬,Engineer,/ˌendʒɪˈnɪər/,/ˌen.dʒɪˈnɪər/,/ɪə/,Diphthongs,"engenheiro, técnico, projetista, especialista, inventor",Profissional que aplica ciência e técnica para criar soluções.
108,🔥,Fire,/’faɪər/,/faɪər/,/ɪə/,Diphthongs,"fogo, incêndio, tiro, disparo, demissão",Fenômeno de combustão; também demitir (verbo).
109,💡,Idea,/aɪˈdɪə/,/aɪˈdɪə/,/ɪə/,Diphthongs,"ideia, pensamento, noção, conceito, opinião",Representação mental de algo; plano.
106,📅,Year,/jɪər/,/jɪər/,/ɪə/,Diphthongs,"ano, período, ciclo, etapa, tempo",Unidade de 12 meses; também fase da vida.
123,📢,Disclosure,/dɪsˈkləʊ.ʒə/,/dɪˈskləʊ.ʒər/,/ʊə/,Diphthongs,"divulgação, revelação, exposição, anúncio, comunicação",Ato de tornar algo conhecido publicamente.
119,⚡,Power,/ˈpaʊər/,/paʊər/,/ʊə/,Diphthongs,"poder, energia, força, autoridade, influência","Capacidade de agir, controlar ou causar efeito."
118,💧,Pure,/pjʊər/,/pjʊər/,/ʊə/,Diphthongs,"puro, limpo, genuíno, sincero, simples",Algo sem mistura ou de essência verdadeira.
122,🔒,Security,/sɪˈkjʊə.rə.ti/,/sɪˈkjʊə.rə.ti/,/ʊə/,Diphthongs,"segurança, proteção, estabilidade, vigilância, confiança",Estado de estar protegido contra perigos.
120,🚌,Tour,/tʊər/,/tʊər/,/ʊə/,Diphthongs,"passeio, excursão, viagem, rota, turnê",Viagem organizada ou série de apresentações.
121,🗼,Tower,/ˈtaʊər/,/taʊər/,/ʊə/,Diphthongs,"torre, prédio, estrutura, fortaleza, arranha-céu","Construção alta e estreita, geralmente vertical."
161,🙂,Face,/feɪs/,/feɪs/,/f/,Fricatives,"rosto, expressão, aparência, fachada, superfície",Parte frontal da cabeça; também aparência de algo.
164,👗,Fashion,/ˈfæʃ.ən/,/ˈfæʃ.ən/,/f/,Fricatives,"moda, estilo, tendência, costume, elegância",Modo popular de se vestir ou se comportar.
162,💖,Favorite,/ˈfeɪ.və.rɪt/,/ˈfeɪ.vər.ɪt/,/f/,Fricatives,"favorito, preferido, querido, amado, principal",O que se prefere em relação aos demais.
160,🌍,Foreign,/ˈfɔːr.ən/,/ˈfɒr.ən/,/f/,Fricatives,"estrangeiro, externo, internacional, de fora, alheio",Relacionado a outro país ou cultura.
163,🗽,Freedom,/ˈfriː.dəm/,/ˈfriː.dəm/,/f/,Fricatives,"liberdade, independência, autonomia, direito, soltura",Estado de estar livre de restrições.
165,🧘,Physical,/ˈfɪz.ɪ.kəl/,/ˈfɪz.ɪ.kəl/,/f/,Fricatives,"físico, corporal, material, concreto, tangível",Relacionado ao corpo ou a coisas palpáveis.
212,🔁,Habit,/ˈhæ.bɪt/,/ˈhæb.ɪt/,/h/,Fricatives,"hábito, costume, prática, rotina, vício",Comportamento repetido frequentemente.
213,😊,Happiness,/ˈhæ.pɪ.nəs/,/ˈhæp.i.nəs/,/h/,Fricatives,"felicidade, alegria, contentamento, prazer, satisfação",Estado de bem-estar e emoção positiva.
208,📚,History,/ˈhɪs.tə.ri/,/ˈhɪs.tər.i/,/h/,Fricatives,"história, passado, registro, narrativa, trajetória",Estudo ou relato de eventos passados.
209,🎉,Holiday,/ˈhɑː.lə.deɪ/,/ˈhɒl.ə.deɪ/,/h/,Fricatives,"feriado, férias, descanso, celebração, viagem",Período de pausa ou comemoração.
210,🏥,Hospital,/ˈhɑː.spɪ.təl/,/ˈhɒs.pɪ.təl/,/h/,Fricatives,"hospital, clínica, centro médico, instituição, enfermaria",Local onde se tratam pessoas doentes.
211,👨‍🦰,Husband,/ˈhʌz.bənd/,/ˈhʌz.bənd/,/h/,Fricatives,"marido, esposo, companheiro, cônjuge, parceiro",Homem casado ou em união estável.
187,💰,Sale,/seɪl/,/seɪl/,/s/,Fricatives,"venda, liquidação, comércio, transação, desconto",Ato de vender ou evento com preços reduzidos.
184,🍂,Season,/ˈsiː.zən/,/ˈsiː.zən/,/s/,Fricatives,"estação, época, período, temporada, fase",Divisão do ano ou fase de um ciclo.
186,↔️,Side,/saɪd/,/saɪd/,/s/,Fricatives,"lado, margem, aspecto, posição, face",Parte ou perspectiva de algo.
185,📏,Size,/saɪz/,/saɪz/,/s/,Fricatives,"tamanho, porte, medida, proporção, dimensão",Indica as dimensões ou a escala de algo.
188,🎯,Skill,/skɪl/,/skɪl/,/s/,Fricatives,"habilidade, capacidade, destreza, competência, talento",Aptidão para executar algo bem.
189,☁️,Sky,/skaɪ/,/skaɪ/,/s/,Fricatives,"céu, firmamento, atmosfera, horizonte, altura",Espaço acima da Terra; também figurado.
166,💎,Value,/ˈvæl.juː/,/ˈvæl.juː/,/v/,Fricatives,"valor, importância, preço, mérito, princípio",Aquilo que algo ou alguém representa em importância.
169,🚗,Vehicle,/ˈviː.ə.kəl/,/ˈvɪə.kəl/,/v/,Fricatives,"veículo, automóvel, meio, transporte, carro",Meio usado para locomoção de pessoas ou bens.
167,📹,Video,/ˈvɪ.di.oʊ/,/ˈvɪd.i.əʊ/,/v/,Fricatives,"vídeo, gravação, clipe, filme, conteúdo",Registro visual em movimento.
171,💥,Violence,/ˈvaɪ.ə.ləns/,/ˈvaɪə.ləns/,/v/,Fricatives,"violência, agressão, brutalidade, abuso, força",Ato ou comportamento que causa dano ou sofrimento.
170,🦠,Virus,/ˈvaɪ.rəs/,/ˈvaɪə.rəs/,/v/,Fricatives,"vírus, agente, infecção, praga, programa malicioso",Organismo ou código que se replica causando dano.
168,🔊,Volume,/ˈvɑːl.juːm/,/ˈvɒl.juːm/,/v/,Fricatives,"volume, som, tomo, quantidade, capacidade",Pode significar nível de som ou quantidade de algo.
194,😰,Anxiety,/æŋˈzaɪ.ə.ti/,/æŋˈzaɪ.ə.ti/,/z/,Fricatives,"ansiedade, preocupação, nervosismo, apreensão, tensão",Estado emocional de inquietação ou medo.
192,🎨,Design,/dɪˈzaɪn/,/dɪˈzaɪn/,/z/,Fricatives,"design, projeto, desenho, criação, planejamento",Concepção visual ou funcional de algo.
191,🧪,Example,/ɪɡˈzæm.pəl/,/ɪɡˈzɑːm.pəl/,/z/,Fricatives,"exemplo, modelo, caso, ilustração, amostra",Algo que serve para demonstrar ou explicar.
193,🏛️,Museum,/mjuˈzi.əm/,/mjuːˈziː.əm/,/z/,Fricatives,"museu, galeria, exposição, acervo, instituição",Local onde se guardam e exibem obras/objetos.
195,🎼,Musician,/mjuˈzɪ.ʃən/,/mjuːˈzɪʃ.ən/,/z/,Fricatives,"músico, artista, instrumentista, compositor, cantor",Pessoa que toca ou cria música.
190,📊,Result,/rɪˈzʌlt/,/rɪˈzʌlt/,/z/,Fricatives,"resultado, consequência, efeito, desfecho, produto",Consequência de uma ação ou situação.
179,👕,Clothing,/ˈkloʊ.ðɪŋ/,/ˈkləʊ.ðɪŋ/,/ð/,Fricatives,"roupa, vestimenta, traje, peça, uniforme",Termo geral para roupas ou itens de vestir.
183,👨,Father,/ˈfɑːðər/,/ˈfɑː.ðər/,/ð/,Fricatives,"pai, genitor, progenitor, patriarca, cuidador",Homem que gera ou cria filhos.
180,👵,Grandmother,/ˈɡrænˌmʌ.ðər/,/ˈɡræn.mʌð.ər/,/ð/,Fricatives,"avó, vó, matriarca, ancestral, senhora",Mãe do pai ou da mãe; figura afetiva feminina.
181,🧥,Leather,/ˈle.ðər/,/ˈleð.ər/,/ð/,Fricatives,"couro, material, pele, revestimento, tecido",Material feito de pele animal.
182,🤱,Mother,/ˈmʌð·ər/,/ˈmʌð.ər/,/ð/,Fricatives,"mãe, matriarca, progenitora, senhora, cuidadora",Mulher que gera ou cria filhos.
178,🌦️,Weather,/ˈwe.ðər/,/ˈweð.ər/,/ð/,Fricatives,"clima, tempo, condição, estação, previsão",Condições atmosféricas de um lugar.
200,👀,Attention,/əˈten.ʃən/,/əˈten.ʃən/,/ʃ/,Fricatives,"atenção, foco, cuidado, interesse, observação",Ato de concentrar-se em algo ou alguém.
201,🌎,International,/ˌɪn.tɚˈnæʃ.ən.əl/,/ˌɪn.təˈnæʃ.ən.əl/,/ʃ/,Fricatives,"internacional, mundial, global, estrangeiro, exterior",Relativo a mais de um país ou escala global.
199,❗,Issue,/ˈɪʃ.uː/,/ˈɪʃ.uː/,/ʃ/,Fricatives,"questão, problema, tema, assunto, edição",Tópico em debate ou situação a resolver.
198,💑,Relationship,/rɪˈleɪ.ʃən.ʃɪp/,/rɪˈleɪ.ʃən.ʃɪp/,/ʃ/,Fricatives,"relacionamento, relação, vínculo, conexão, laço",Ligação entre pessoas ou entidades.
196,🤝,Social,/ˈsoʊ.ʃəl/,/ˈsəʊ.ʃəl/,/ʃ/,Fricatives,"social, coletivo, comunitário, público, interativo",Relativo à vida em sociedade ou relações.
197,🚉,Station,/ˈsteɪ.ʃən/,/ˈsteɪ.ʃən/,/ʃ/,Fricatives,"estação, ponto, posto, base, terminal","Local de embarque, transmissão ou serviço."
204,✅,Conclusion,/kənˈkluː.ʒən/,/kənˈkluː.ʒən/,/ʒ/,Fricatives,"conclusão, fim, encerramento, resultado, dedução",Parte final de algo ou ideia formada após análise.
206,😵,Confusion,/kənˈfjuː.ʒən/,/kənˈfjuː.ʒən/,/ʒ/,Fricatives,"confusão, desordem, engano, equívoco, dúvida",Estado mental de incerteza ou mistura de ideias.
202,🤔,Decision,/dɪˈsɪ.ʒən/,/dɪˈsɪʒ.ən/,/ʒ/,Fricatives,"decisão, escolha, resolução, determinação, julgamento",Ato de optar por algo após análise.
207,➗,Equation,/ɪˈkweɪ.ʒən/,/ɪˈkweɪ.ʒən/,/ʒ/,Fricatives,"equação, igualdade, relação, expressão, fórmula",Igualdade matemática ou relação lógica.
203,📺,Television,/ˈtel.ə.vɪ.ʒən/,/ˈtel.ɪ.vɪʒ.ən/,/ʒ/,Fricatives,"televisão, TV, programa, canal, mídia",Sistema de transmissão de imagens e sons.
205,🧩,Version,/ˈvɜːr.ʒən/,/ˈvɜː.ʃən/,/ʒ/,Fricatives,"versão, edição, variação, modelo, interpretação",Forma específica ou adaptada de algo.
175,🌍,Earth,/ɝːθ/,/ɜːθ/,/θ/,Fricatives,"terra, solo, planeta, mundo, chão",O planeta em que vivemos ou o chão físico.
172,🏥,Health,/helθ/,/helθ/,/θ/,Fricatives,"saúde, bem-estar, vitalidade, vigor, sanidade",Estado físico e mental equilibrado.
173,📅,Month,/mʌnθ/,/mʌnθ/,/θ/,Fricatives,"mês, período, ciclo, etapa, tempo",Unidade de tempo com cerca de 30 dias.
174,💪,Strength,/streŋθ/,/streŋθ/,/θ/,Fricatives,"força, resistência, poder, energia, capacidade",Habilidade de suportar ou realizar algo.
177,🧘,Therapy,/ˈθer.ə.pi/,/ˈθer.ə.pi/,/θ/,Fricatives,"terapia, tratamento, cura, atendimento, sessão",Processo usado para melhorar saúde ou bem-estar.
176,🥤,Thirst,/θɝːst/,/θɜːst/,/θ/,Fricatives,"sede, desejo, anseio, carência, vontade",Necessidade de líquido ou forte desejo por algo.
255,🧑,Human,/ˈhjuː.mən/,/ˈhjuː.mən/,/j/,Glides,"humano, pessoa, ser, indivíduo, gente",Relacionado a seres humanos; também qualidade de empatia.
254,🧥,Uniform,/ˈjuː.nə.fɔːrm/,/ˈjuː.nɪ.fɔːm/,/j/,Glides,"uniforme, vestimenta, padrão, roupa, traje",Roupa padronizada usada por grupos.
253,🌌,Universe,/ˈjuː.nə.vɝːs/,/ˈjuː.nɪ.vɜːs/,/j/,Glides,"universo, cosmos, realidade, totalidade, criação",Conjunto de tudo que existe.
252,🎓,University,/ˌjuː.nəˈvɝː.sə.ti/,/ˌjuː.nɪˈvɜː.sə.ti/,/j/,Glides,"universidade, faculdade, instituição, campus, ensino superior",Local que oferece cursos e pesquisas avançadas.
250,👍,Yes,/jes/,/jes/,/j/,Glides,"sim, afirmação, concordância, aprovação, resposta",Palavra usada para concordar ou aceitar algo.
251,👉,You,/juː/,/juː/,/j/,Glides,"você, tu, vocês, senhor(a), interlocutor",Pronome usado para se dirigir a alguém.
249,🌊,Wave,/weɪv/,/weɪv/,/w/,Glides,"onda, gesto, movimento, sinal, saudação",Movimento do mar ou aceno com a mão.
246,📅,Weekend,/ˈwiːk.end/,/ˌwiːkˈend/,/w/,Glides,"fim de semana, sábado e domingo, descanso, pausa, folga",Período de lazer entre sexta e domingo.
248,👰,Wife,/waɪf/,/waɪf/,/w/,Glides,"esposa, mulher, cônjuge, companheira, parceira",Mulher casada ou em relação estável.
245,🪟,Window,/ˈwɪn.doʊ/,/ˈwɪn.dəʊ/,/w/,Glides,"janela, vitrine, abertura, visor, tela",Abertura para luz/ventilação ou interface de computador.
247,❄️,Winter,/ˈwɪn.tər/,/ˈwɪn.tər/,/w/,Glides,"inverno, estação fria, temporada, época, fase",Estação mais fria do ano.
244,👷,Worker,/ˈwɜːr.kər/,/ˈwɜː.kər/,/w/,Glides,"trabalhador, operário, empregado, colaborador, profissional",Pessoa que exerce uma função laboral.
234,🧪,Laboratory,/ˈlæ.brə.tɔːr.i/,/ləˈbɒr.ə.tər.i/,/l/,Liquids,"laboratório, centro, sala, espaço, ambiente científico",Local para experimentos e pesquisas.
233,👩,Lady,/ˈleɪ.di/,/ˈleɪ.di/,/l/,Liquids,"senhora, dama, mulher, moça, nobre",Mulher de modo educado ou respeitoso.
237,😂,Laughter,/ˈlæf.tər/,/ˈlɑːf.tər/,/l/,Liquids,"riso, gargalhada, alegria, humor, som",Ato ou som de rir; sinal de diversão.
235,🎓,Lecture,/ˈlek.tʃər/,/ˈlek.tʃər/,/l/,Liquids,"palestra, aula, conferência, lição, exposição",Apresentação oral sobre um tema acadêmico/profissional.
232,📚,Library,/ˈlaɪ.brer.i/,/ˈlaɪ.brər.i/,/l/,Liquids,"biblioteca, acervo, coleção, centro, instituição",Local onde se guardam e emprestam livros.
236,🧠,Logic,/ˈlɑː.dʒɪk/,/ˈlɒdʒ.ɪk/,/l/,Liquids,"lógica, raciocínio, coerência, sentido, sistema",Forma estruturada de pensar ou analisar algo.
242,📻,Radio,/ˈreɪ.di.oʊ/,/ˈreɪ.di.əʊ/,/r/,Liquids,"rádio, emissora, transmissão, estação, aparelho",Meio de comunicação por ondas sonoras.
241,📖,Reader,/ˈriː.dər/,/ˈriː.dər/,/r/,Liquids,"leitor, pessoa, usuário, intérprete, estudante",Quem lê ou interpreta textos.
239,🗺️,Region,/ˈriː.dʒən/,/ˈriː.dʒən/,/r/,Liquids,"região, área, zona, território, distrito",Parte geográfica de um país ou planeta.
243,🔬,Research,/ˈriː.sɜːrtʃ/,/rɪˈsɜːtʃ/,/r/,Liquids,"pesquisa, estudo, investigação, análise, levantamento",Atividade sistemática de busca por conhecimento.
238,🍽️,Restaurant,/ˈres.tə.rɑːnt/,/ˈres.tər.ɒnt/,/r/,Liquids,"restaurante, lanchonete, cantina, bistrô, estabelecimento",Local onde se servem refeições.
240,✍️,Writer,/ˈraɪ.tər/,/ˈraɪ.tər/,/r/,Liquids,"escritor, autor, redator, criador, jornalista",Pessoa que escreve textos ou obras.
36,🟰,Equal,/ˈiː.kwəl/,/ˈiː.kwəl/,/iː/,Long Vowels,"igual, equivalente, justo, equilibrado, idêntico","Indica igualdade em valor, quantidade ou condição."
40,☮️,Peace,/piːs/,/piːs/,/iː/,Long Vowels,"paz, calma, harmonia, sossego, tranquilidade",Estado de ausência de conflito ou de equilíbrio interior.
39,🧩,Piece,/piːs/,/piːs/,/iː/,Long Vowels,"pedaço, parte, fragmento, obra, item",Parte de algo inteiro ou item individual.
41,🙏,Please,/pliːz/,/pliːz/,/iː/,Long Vowels,"por favor, agradar, satisfazer, contentar, desejar",Usado para fazer pedidos educados; também pode significar agradar.
38,🛣️,Street,/striːt/,/striːt/,/iː/,Long Vowels,"rua, avenida, via, caminho, estrada",Espaço público por onde circulam pessoas e veículos.
37,📅,Week,/wiːk/,/wiːk/,/iː/,Long Vowels,"semana, período, intervalo, ciclo, jornada",Unidade de tempo composta por sete dias.
65,📋,Menu,/ˈmen.juː/,/ˈmen.juː/,/uː/,Long Vowels,"cardápio, lista, opções, seleção, menu",Lista de pratos em restaurante ou opções em um sistema.
63,😂,Mood,/muːd/,/muːd/,/uː/,Long Vowels,"humor, ânimo, estado, sentimento, disposição",Clima emocional de uma pessoa ou situação.
64,🌜,Moon,/muːn/,/muːn/,/uː/,Long Vowels,"lua, satélite, astro, luar, corpo celeste",Satélite natural da Terra; símbolo de romance/inspiração.
60,🎞️,Movie,/ˈmuː.vi/,/ˈmuː.vi/,/uː/,Long Vowels,"filme, longa, cinema, produção, gravação",Obra cinematográfica; entretenimento audiovisual.
62,📰,News,/nuːz/,/njuːz/,/uː/,Long Vowels,"notícia, informação, reportagem, novidade, comunicação",Informação recente transmitida por meios de comunicação.
61,🏊,Pool,/puːl/,/puːl/,/uː/,Long Vowels,"piscina, poço, conjunto, grupo, acúmulo",Local com água para nadar ou acúmulo de algo.
42,🎨,Art,/ɑːrt/,/ɑːt/,/ɑː/,Long Vowels,"arte, habilidade, técnica, talento, estética",Produção criativa ou expressão de ideias/beleza.
43,🎨,Artist,/ˈɑːr.tɪst/,/ˈɑː.tɪst/,/ɑː/,Long Vowels,"artista, pintor, cantor, músico, criador",Pessoa que cria obras ou atua em atividades artísticas.
47,💳,Card,/kɑːrd/,/kɑːd/,/ɑː/,Long Vowels,"cartão, carta, bilhete, ficha, documento","Peça retangular usada para pagamento, identificação ou mensagem."
44,❤️,Heart,/hɑːrt/,/hɑːt/,/ɑː/,Long Vowels,"coração, centro, essência, sentimento, coragem",Órgão vital ou símbolo de emoção e afeto.
45,🌳,Park,/pɑːrk/,/pɑːk/,/ɑː/,Long Vowels,"parque, jardim, área, estacionamento, reserva",Local público para lazer; também estacionar (como verbo).
46,🧱,Wall,/wɑːl/,/wɔːl/,/ɑː/,Long Vowels,"parede, muro, divisória, barreira, estrutura",Superfície que separa espaços ou forma uma construção.
49,✍️,Author,/ˈɔ·θər/,/ˈɔː.θər/,/ɔː/,Long Vowels,"autor, escritor, criador, redator, responsável","Pessoa que cria um texto, obra ou ideia."
50,🧑‍🏫,Course,/kɔːrs/,/kɔːs/,/ɔː/,Long Vowels,"curso, trajetória, caminho, disciplina, direção",Conjunto de aulas ou caminho a seguir (literal/figurado).
53,👧,Daughter,/ˈdɑ:.tər/,/ˈdɔː.tər/,/ɔː/,Long Vowels,"filha, menina, mulher, descendente, herdeira",Filha do ponto de vista dos pais.
52,🚪,Door,/dɔːr/,/dɔːr/,/ɔː/,Long Vowels,"porta, entrada, passagem, portão, acesso",Estrutura que permite entrar ou sair de um espaço.
51,⚖️,Law,/lɔː/,/lɔː/,/ɔː/,Long Vowels,"lei, direito, norma, regra, legislação",Sistema de regras que regula uma sociedade.
48,🛍️,Order,/ˈɔːr.dɚ/,/ˈɔː.dər/,/ɔː/,Long Vowels,"pedido, ordem, comando, sequência, arranjo",Pode indicar solicitação (order food) ou organização.
58,🐦,Bird,/bɝːd/,/bɜːd/,/ɜː/,Long Vowels,"pássaro, ave, passarinho, criatura, animal","Animal com asas e penas, capaz de voar."
