Emoji,Word,Transcription,Symbol,Category
🍋,L e mon,/ˈlem. ə n/,/e/,Short Vowels
🐘,Animal,/ˈænɪməl/,/æ/,Short Vowels
🏦,Bank,/bæŋk/,/æ/,Short Vowels
🏫,Class,/klæs/,/æ/,Short Vowels
🧍,Body,/ˈbɑː.di/,/ɒ/,Short Vowels
💵,Dollar,/ˈdɑl·ər/,/ɒ/,Short Vowels
📦,Object,/ˈɑːb.dʒekt/,/ɒ/,Short Vowels
🏢,Office,/ˈɑː.fɪs/,/ɒ/,Short Vowels
❗,Problem,/ˈprɑː.bləm/,/ɒ/,Short Vowels
💰,Bill,/bɪl/,/ɪ/,Short Vowels
💼,Business,/ˈbɪz.nɪs/,/ɪ/,Short Vowels
👦,Kid,/kɪd/,/ɪ/,Short Vowels
📚,Book,/bʊk/,/ʊ/,Short Vowels
👕,Clothes,/kloʊz/,/ʊ/,Short Vowels
🎯,Goal,/ɡoʊl/,/ʊ/,Short Vowels
💸,Poor,/pʊr/,/ʊ/,Short Vowels
🚪,Room,/rʊm/,/ʊ/,Short Vowels
🎨,Col o r,/ˈkʌl. ə r/,/ʌ/,Short Vowels
🏢,Company,/ˈkʌm.pə.ni/,/ʌ/,Short Vowels
🎨,Culture,/ˈkʌl.tʃər/,/ʌ/,Short Vowels
💰,Money,/ˈmʌn.i/,/ʌ/,Short Vowels
🧸,Stuff,/stʌf/,/ʌ/,Short Vowels
